a,Grupo,Posição em quadra
McClanahan #22,1,Ala
Ruivo #4,3,Armador
Humberto #19,1,Ala
Gemadinha #35,1,Ala/Armador
Simms #1,1,Armador
Jonatan #50,3,Ala/Armador
Antonio #11,1,Ala/Pivô
Thomas #0,1,Ala
Georginho #14,1,Ala/Armador
Lucas Dias #9,1,Ala/Pivô
Pedro #9,3,Ala
Pedro #9,3,Ala
Alex #10,3,Ala
Sheard #3,3,Ala
Miller #33,3,Ala
Rashaun #17,3,Ala/Armador
Munford #14,1,Ala
Elinho #5,3,Armador
Figueredo #91,3,Armador
David Jackson #32,1,Ala/Armador
Johnson Sr #22,1,Ala
Gemerson #6,3,Ala/Pivô
Fuzaro #9,1,Ala
Scheuer #14,2,Ala
Enzo #30,3,Ala
Lessa #32,3,Ala/Armador
Roque #77,1,Armador
Dos Santos #0,2,Ala/Pivô
Cuello #44,3,Ala
Bennett #3,1,Ala/Armador
Mãozinha #45,2,Ala/Pivô
Gui Abreu #33,1,Ala
Ruan #8,2,Pivô
Gaskins #2,3,Armador
Von Haydin #30,3,Ala
Alexey #4,1,Armador
Renan #44,3,Armador
Renato #15,2,Pivô
Aguerre #27,1,Pivô
Augusto #5,3,Ala/Armador
Williams #1,4,Ala
Vithinho #0,3,Armador
Tyrone #0,3,Ala/Pivô
Materan #10,3,Ala
Harris #23,1,Ala
Davi #5,3,Armador
Cassiano #7,3,Armador
Lucas Mariano #28,1,Pivô
Arthur #36,4,Ala/Pivô
Jimmy #18,0,Ala/Armador
Maique #35,2,Pivô
Machuca #8,3,Armador
Fischer #5,3,Armador
Gadson #23,3,Ala/Pivô
André Goes #40,3,Ala
Da Silva #7,2,Ala
Buffat #9,3,Ala
Paulo #7,4,Ala/Pivô
Novaes #13,4,Ala/Pivô
Dawkins #14,3,Armador
Wesley #21,2,Pivô
Holloway #1,2,Ala
Piñero #33,0,Ala/Pivô
Eddy #33,0,Ala
Martinez #34,0,Ala/Pivô
Deryk #3,4,Armador
Campos #2,3,Armador
G. Basílio #10,4,Ala
Ronald #6,2,Pivô
Marquinhos #11,4,Ala
Victão #10,4,Ala/Pivô
Vezaro #10,0,Ala
Mathias #12,2,Pivô
Matheusinho #2,1,Armador
Gabriel Jaú #9,2,Ala/Pivô
Scala #6,0,Ala/Armador
Magna #20,4,Ala/Pivô
Veríssimo #11,4,Ala
D. Nunes #24,4,Ala/Pivô
Isaac #7,0,Ala
L. Lacerda #10,3,Armador
Rodrigues #16,2,Pivô
Mogi #4,4,Ala
Crescenzi #2,0,Ala/Armador
Dikembe #20,2,Pivô
Fabricio #10,0,Ala/Pivô
Leal #2,2,Pivô
Elder #3,4,Ala/Armador
Silva #14,4,Ala/Pivô
Adyel #4,1,Ala/Armador
Cauê Borges #4,4,Ala
Barnes #34,0,Armador
Jhonatan #7,0,Ala
Pierotti #4,4,Armador
Vildoza #11,3,Armador
Anderson #32,0,Ala
Mineiro #12,4,Ala/Pivô
Rafa #16,4,Pivô
Deodato #1,0,Ala
Tiago #13,0,Pivô
Amardi #7,4,Pivô
Paulichi #13,0,Ala/Pivô
Hamilton #6,4,Ala
Gerson #1,4,Pivô
Corvalán #7,4,Armador
Paranhos #24,2,Pivô
Pecos #14,4,Armador
Hubner #77,4,Pivô
Brite #3,0,Armador
Hettsheimeir #30,4,Pivô
Morillo #0,4,Ala/Armador
Michel #24,0,Ala/Armador
Faggiano #3,4,Armador
Diego #24,4,Ala/Pivô
Zach Graham #32,4,Ala
Doria #7,4,Pivô
Siewert #23,0,Pivô
Arthur #4,4,Ala
Aguirre #7,0,Armador
Larry #4,0,Ala/Armador
Jefferson #10,4,Ala/Pivô
Lupa #18,4,Pivô
Teichmann #11,4,Pivô
Martinez #25,0,Ala/Armador
Cauê #8,0,Armador
Smith #0,4,Ala/Armador
Betinho #26,4,Ala
Márcio #3,#N/A,Ala/Pivô
Coelho #10,4,Armador
Ansaloni #22,4,Pivô
Sena #21,4,Pivô