Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
Lessa #32,32,29.43,10.22,4.59,3.88,1.75,3.38,3.38,2.66,4.63,2.69,1.72,4.28,1.53,35.77,1.94,4.56,42.47,1.75,2.47,70.89,0.00,1.13,2.69,0.42,0.00,2.19,0.00,2.69,0.28,2.69,10.56,10.22,3.38,4.63,1.13,0.00,10.56,10.22,3.38,4.63,1.13,0.00,0.03,0.00
Deodato #1,39,22.06,10.15,5.92,3.49,0.74,3.56,3.56,2.92,1.92,1.56,1.23,5.00,1.97,39.49,1.74,2.77,62.96,0.74,1.23,60.42,0.18,0.74,1.56,0.48,0.33,1.44,0.23,1.56,0.18,1.56,10.62,10.15,3.56,1.92,0.74,0.33,10.62,10.15,3.56,1.92,0.74,0.33,0.00,0.00
Dawkins #14,32,25.80,10.13,4.50,4.13,1.50,2.28,2.28,1.78,4.31,2.13,02.03,4.88,1.50,30.77,02.06,4.22,48.89,1.50,2.13,70.59,0.00,1.19,2.13,0.56,0.03,1.97,0.02,2.13,0.25,2.13,9.66,10.13,2.28,4.31,1.19,0.03,9.66,10.13,2.28,4.31,1.19,0.03,0.09,0.00
André Goes #40,32,26.45,10.09,4.31,3.88,1.91,4.31,4.31,3.75,4.28,1.84,2.32,4.50,1.44,31.94,1.94,4.63,41.89,1.91,2.28,83.56,0.00,1.13,1.84,0.61,0.19,02.03,0.09,1.84,0.13,1.84,12.03,10.09,4.31,4.28,1.13,0.19,12.03,10.09,4.31,4.28,1.13,0.19,0.00,0.00
L. Lacerda #10,23,23.98,10.04,4.70,3.13,2.22,2.39,2.39,02.04,3.96,1.83,2.17,4.52,1.57,34.62,1.57,3.13,50.00,2.22,2.43,91.07,0.00,0.74,1.83,0.40,0.04,1.65,0.03,1.83,0.17,1.83,10.61,10.04,2.39,3.96,0.74,0.04,10.61,10.04,2.39,3.96,0.74,0.04,0.00,0.00
Jimmy #18,39,27.14,10.00,4.85,4.67,0.49,3.23,3.23,2.54,1.36,1.26,01.08,4.36,1.62,37.06,2.33,4.67,50.00,0.49,0.67,73.08,0.10,0.92,1.26,0.73,0.08,1.74,0.04,1.26,0.15,1.26,09.08,10.00,3.23,1.36,0.92,0.08,09.08,10.00,3.23,1.36,0.92,0.08,0.00,0.00
Marquinhos #11,18,24.86,9.94,3.33,4.11,2.50,3.78,3.78,3.33,2.00,1.50,1.33,3.22,1.11,34.48,02.06,5.11,40.22,2.50,3.22,77.59,0.11,0.78,1.50,0.52,0.17,2.33,0.07,1.50,0.06,1.50,9.28,9.94,3.78,2.00,0.78,0.17,9.28,9.94,3.78,2.00,0.78,0.17,0.00,0.00
Mathias #12,34,24.73,9.91,1.32,7.24,1.35,7.91,7.91,6.32,0.47,02.09,0.23,1.15,0.44,38.46,3.62,6.56,55.16,1.35,1.88,71.88,0.32,0.38,02.09,0.18,01.03,03.09,0.33,02.09,0.38,02.09,13.44,9.91,7.91,0.47,0.38,01.03,13.44,9.91,7.91,0.47,0.38,01.03,0.26,0.00
Scheuer #14,28,29.61,9.89,3.54,5.00,1.36,6.11,6.11,4.46,1.32,1.75,0.76,3.36,1.18,35.11,2.50,4.86,51.47,1.36,2.14,63.33,0.79,0.57,1.75,0.33,0.39,2.29,0.17,1.75,0.21,1.75,11.21,9.89,6.11,1.32,0.57,0.39,11.21,9.89,6.11,1.32,0.57,0.39,0.11,0.00
Paranhos #24,41,20.93,9.88,0.00,8.59,1.29,5.24,5.24,3.68,0.83,1.51,0.55,0.27,0.00,0.00,4.29,7.15,60.07,1.29,2.17,59.55,0.76,0.59,1.51,0.39,0.17,2.54,0.07,1.51,0.32,1.51,11.20,9.88,5.24,0.83,0.59,0.17,11.20,9.88,5.24,0.83,0.59,0.17,0.15,0.00
Victão #10,40,24.81,9.88,3.98,4.90,1.00,05.08,05.08,3.43,1.25,1.20,01.04,3.48,1.33,38.13,2.45,4.70,52.13,1.00,1.20,83.33,0.23,0.60,1.20,0.50,0.28,2.15,0.13,1.20,0.23,1.20,11.28,9.88,05.08,1.25,0.60,0.28,11.28,9.88,05.08,1.25,0.60,0.28,0.00,0.00
Pedro #9,34,31.34,9.85,4.24,04.06,1.56,3.47,3.47,3.12,2.59,02.06,1.26,5.44,1.41,25.95,02.03,4.50,45.10,1.56,2.29,67.95,0.00,1.59,02.06,0.77,0.18,2.44,0.07,02.06,0.47,02.06,8.38,9.85,3.47,2.59,1.59,0.18,05.06,4.12,1.76,0.82,0.76,0.09,0.00,0.00
Hamilton #6,34,21.44,9.74,3.79,4.88,01.06,3.88,3.88,2.53,02.06,1.56,1.32,3.32,1.26,38.05,2.44,05.09,47.98,01.06,1.35,78.26,0.00,0.82,1.56,0.53,0.12,2.32,0.05,1.56,0.50,1.56,10.06,9.74,3.88,02.06,0.82,0.12,10.06,9.74,3.88,02.06,0.82,0.12,0.00,0.00
Zach Graham #32,29,19.92,9.69,3.83,4.14,1.72,1.76,1.76,1.62,1.17,1.55,0.76,3.76,1.28,33.94,02.07,4.21,49.18,1.72,2.31,74.63,0.00,0.38,1.55,0.24,0.21,1.28,0.16,1.55,0.31,1.55,6.45,9.69,1.76,1.17,0.38,0.21,6.45,9.69,1.76,1.17,0.38,0.21,0.00,0.00
Martinez #34,27,25.18,9.63,5.11,3.48,01.04,04.04,04.04,3.22,0.85,0.78,1.10,5.48,1.70,31.08,1.74,03.07,56.63,01.04,1.33,77.78,0.07,0.93,0.78,1.19,0.04,2.19,0.02,0.78,0.19,0.78,9.30,9.63,04.04,0.85,0.93,0.04,9.30,9.63,04.04,0.85,0.93,0.04,0.00,0.00
Eddy #33,35,25.23,9.51,5.91,2.69,0.91,3.14,3.14,2.54,1.94,1.14,1.70,5.63,1.97,35.03,1.34,2.37,56.63,0.91,1.23,74.42,0.14,0.71,1.14,0.63,0.23,2.40,0.10,1.14,0.17,1.14,9.40,9.51,3.14,1.94,0.71,0.23,9.40,9.51,3.14,1.94,0.71,0.23,0.03,0.00
Corvalán #7,34,21.06,9.50,3.97,03.06,2.47,1.85,1.85,1.56,1.62,1.59,01.02,3.65,1.32,36.29,1.53,2.82,54.17,2.47,03.03,81.55,0.09,0.85,1.59,0.54,0.03,2.26,0.01,1.59,0.32,1.59,08.09,9.50,1.85,1.62,0.85,0.03,08.09,9.50,1.85,1.62,0.85,0.03,0.00,0.00
Veríssimo #11,35,24.42,9.49,1.20,6.29,2.00,5.46,5.46,3.97,1.74,1.29,1.36,1.71,0.40,23.33,3.14,5.91,53.14,2.00,2.91,68.63,0.00,1.60,1.29,1.24,0.14,2.34,0.06,1.29,0.17,1.29,12.14,9.49,5.46,1.74,1.60,0.14,12.14,9.49,5.46,1.74,1.60,0.14,0.09,0.00
Smith #0,28,18.18,9.46,3.32,4.86,1.29,2.11,2.11,0.96,1.32,0.86,1.54,2.54,1.11,43.66,2.43,4.96,48.92,1.29,1.61,80.00,0.07,0.61,0.86,0.71,0.00,2.18,0.00,0.86,0.11,0.86,8.36,9.46,2.11,1.32,0.61,0.00,8.36,9.46,2.11,1.32,0.61,0.00,0.00,0.00
Vildoza #11,33,22.54,9.24,05.09,2.85,1.30,2.58,2.58,2.42,2.97,1.82,1.63,05.09,1.70,33.33,1.42,3.12,45.63,1.30,1.55,84.31,0.00,0.88,1.82,0.48,0.03,1.85,0.02,1.82,0.15,1.82,8.55,9.24,2.58,2.97,0.88,0.03,8.55,9.24,2.58,2.97,0.88,0.03,0.00,0.00
Lupa #18,15,18.96,9.20,0.00,6.67,2.53,5.00,5.00,3.13,1.13,1.60,0.71,0.00,0.00,0.00,3.33,6.40,52.08,2.53,3.47,73.08,0.00,0.40,1.60,0.25,0.07,2.87,0.02,1.60,0.13,1.60,10.20,9.20,5.00,1.13,0.40,0.07,10.20,9.20,5.00,1.13,0.40,0.07,0.07,0.00
Brite #3,39,20.74,9.13,04.08,3.95,1.10,2.56,2.56,1.77,2.33,1.10,2.12,3.79,1.36,35.81,1.97,4.00,49.36,1.10,1.36,81.13,0.03,1.36,1.10,1.23,0.08,2.44,0.03,1.10,0.18,1.10,9.64,9.13,2.56,2.33,1.36,0.08,9.64,9.13,2.56,2.33,1.36,0.08,0.03,0.00
Cauê Borges #4,19,23.01,09.05,3.00,3.58,2.47,3.21,3.21,2.74,3.26,1.53,2.14,3.58,1.00,27.94,1.79,3.89,45.95,2.47,2.95,83.93,0.00,0.58,1.53,0.38,0.05,1.84,0.03,1.53,0.11,1.53,9.47,09.05,3.21,3.26,0.58,0.05,9.47,09.05,3.21,3.26,0.58,0.05,0.05,0.00
Pierotti #4,34,22.75,9.00,2.82,3.65,2.53,1.88,1.88,1.41,2.76,01.03,2.69,3.38,0.94,27.83,1.82,04.03,45.26,2.53,3.21,78.90,0.00,0.59,01.03,0.57,0.00,1.68,0.00,01.03,0.15,01.03,7.88,9.00,1.88,2.76,0.59,0.00,7.88,9.00,1.88,2.76,0.59,0.00,0.00,0.00
Gerson #1,29,21.36,8.97,0.00,7.17,1.79,3.52,3.52,2.24,0.34,0.97,0.36,0.07,0.00,0.00,3.59,5.97,60.12,1.79,2.45,73.24,0.59,0.55,0.97,0.57,0.21,2.34,0.09,0.97,0.14,0.97,9.52,8.97,3.52,0.34,0.55,0.21,9.52,8.97,3.52,0.34,0.55,0.21,0.00,0.00
Dimitri #11,32,14.62,8.94,2.53,5.13,1.28,1.66,1.66,1.00,0.78,0.72,01.09,2.63,0.84,32.14,2.56,4.41,58.16,1.28,2.16,59.42,0.00,0.28,0.72,0.39,0.09,1.81,0.05,0.72,0.09,0.72,6.53,8.94,1.66,0.78,0.28,0.09,6.53,8.94,1.66,0.78,0.28,0.09,0.00,0.00
Novaes #13,35,25.89,8.86,1.71,5.54,1.60,4.63,4.63,2.74,1.43,1.57,0.91,1.86,0.57,30.77,2.77,05.06,54.80,1.60,02.06,77.78,0.17,0.66,1.57,0.42,0.23,1.91,0.12,1.57,0.40,1.57,10.20,8.86,4.63,1.43,0.66,0.23,10.20,8.86,4.63,1.43,0.66,0.23,0.00,0.00
Deryk #3,34,25.10,8.82,02.03,5.71,01.09,2.47,2.47,1.82,02.03,1.53,1.33,2.62,0.68,25.84,2.85,5.62,50.79,01.09,1.47,74.00,0.00,0.91,1.53,0.60,0.03,1.76,0.02,1.53,0.09,1.53,7.65,8.82,2.47,02.03,0.91,0.03,7.65,8.82,2.47,02.03,0.91,0.03,0.00,0.00
Fabricio #10,32,23.60,8.78,6.47,1.25,01.06,03.06,03.06,2.66,1.63,0.97,1.68,5.28,2.16,40.83,0.63,1.16,54.05,01.06,1.66,64.15,0.00,0.63,0.97,0.65,0.09,02.03,0.05,0.97,0.06,0.97,8.97,8.78,03.06,1.63,0.63,0.09,8.97,8.78,03.06,1.63,0.63,0.09,0.00,0.00
Siewert #23,42,19.85,8.74,6.29,1.90,0.55,2.90,2.90,02.07,0.43,0.62,0.69,4.60,2.10,45.60,0.95,1.76,54.05,0.55,0.64,85.19,0.07,0.62,0.62,1.00,0.21,2.50,0.09,0.62,0.07,0.62,8.88,8.74,2.90,0.43,0.62,0.21,8.88,8.74,2.90,0.43,0.62,0.21,0.02,0.00
Pecos #14,35,20.85,8.66,1.63,5.54,1.49,4.54,4.54,3.66,4.29,1.34,3.19,1.69,0.54,32.20,2.77,5.83,47.55,1.49,1.86,80.00,0.00,0.80,1.34,0.60,0.06,1.46,0.04,1.34,0.14,1.34,12.43,8.66,4.54,4.29,0.80,0.06,12.43,8.66,4.54,4.29,0.80,0.06,0.00,0.00
Elder #3,16,23.19,8.63,2.63,4.75,1.25,3.63,3.63,2.56,1.25,1.38,0.91,3.31,0.88,26.42,2.38,5.31,44.71,1.25,02.06,60.61,0.13,1.13,1.38,0.82,0.06,1.38,0.05,1.38,0.19,1.38,7.13,8.63,3.63,1.25,1.13,0.06,7.13,8.63,3.63,1.25,1.13,0.06,0.06,0.00
D. Nunes #24,27,24.42,8.59,2.11,5.19,1.30,05.04,05.04,3.33,01.07,1.00,01.07,2.37,0.70,29.69,2.59,4.67,55.56,1.30,1.59,81.40,0.15,0.63,1.00,0.63,0.52,1.96,0.26,1.00,0.07,1.00,10.81,8.59,05.04,01.07,0.63,0.52,10.81,8.59,05.04,01.07,0.63,0.52,0.07,0.00
Vezaro #10,42,24.80,8.52,6.21,1.71,0.60,3.45,3.45,2.67,1.36,0.45,3.00,4.48,02.07,46.28,0.86,1.45,59.02,0.60,0.64,92.59,0.00,0.76,0.45,1.68,0.07,2.52,0.03,0.45,0.05,0.45,10.67,8.52,3.45,1.36,0.76,0.07,10.67,8.52,3.45,1.36,0.76,0.07,0.00,0.00
Amardi #7,25,21.58,8.44,3.00,4.80,0.64,5.00,5.00,4.20,0.92,1.44,0.64,3.20,1.00,31.25,2.40,4.48,53.57,0.64,1.12,57.14,0.68,1.40,1.44,0.97,0.32,2.76,0.12,1.44,0.28,1.44,9.88,8.44,5.00,0.92,1.40,0.32,9.88,8.44,5.00,0.92,1.40,0.32,0.08,0.00
Paulo #7,30,25.92,8.30,4.20,03.07,01.03,05.03,05.03,3.67,1.20,1.60,0.75,4.20,1.40,33.33,1.53,3.37,45.54,01.03,1.73,59.62,0.13,0.73,1.60,0.46,0.23,1.80,0.13,1.60,0.27,1.60,8.57,8.30,05.03,1.20,0.73,0.23,8.57,8.30,05.03,1.20,0.73,0.23,0.00,0.00
Rodrigues #16,39,23.95,8.28,0.00,6.77,1.51,05.05,05.05,3.21,0.44,0.74,0.59,0.05,0.00,0.00,3.38,5.67,59.73,1.51,2.23,67.82,1.23,0.41,0.74,0.55,0.51,2.31,0.22,0.74,0.13,0.74,10.90,8.28,05.05,0.44,0.41,0.51,10.90,8.28,05.05,0.44,0.41,0.51,0.05,0.00
Davi #5,25,27.29,8.24,04.08,3.12,01.04,4.36,4.36,3.52,3.60,2.00,1.80,04.04,1.36,33.66,1.56,3.68,42.39,01.04,2.36,44.07,0.00,01.04,2.00,0.52,0.00,2.48,0.00,2.00,0.00,2.00,9.12,8.24,4.36,3.60,01.04,0.00,9.12,8.24,4.36,3.60,01.04,0.00,0.00,0.00
Sena #21,27,17.10,8.22,0.33,6.59,1.30,03.07,03.07,2.30,0.78,1.15,0.68,0.89,0.11,12.50,3.30,6.93,47.59,1.30,2.22,58.33,0.56,0.11,1.15,0.10,0.33,2.81,0.12,1.15,0.19,1.15,06.04,8.22,03.07,0.78,0.11,0.33,06.04,8.22,03.07,0.78,0.11,0.33,0.00,0.00
Diego #24,23,19.99,8.22,1.57,3.83,2.83,5.00,5.00,3.70,1.17,1.17,1.00,1.91,0.52,27.27,1.91,3.43,55.70,2.83,3.30,85.53,0.04,01.04,1.17,0.89,0.26,3.13,0.08,1.17,0.22,1.17,11.13,8.22,5.00,1.17,01.04,0.26,11.13,8.22,5.00,1.17,01.04,0.26,0.04,0.00
Ansaloni #22,43,17.65,8.16,2.16,4.79,1.21,4.60,4.60,3.60,0.56,0.95,0.59,1.91,0.72,37.80,2.40,3.93,60.95,1.21,1.53,78.79,0.09,0.28,0.95,0.29,0.14,2.40,0.06,0.95,0.19,0.95,9.74,8.16,4.60,0.56,0.28,0.14,9.74,8.16,4.60,0.56,0.28,0.14,0.02,0.00
Elinho #5,43,30.17,08.07,4.81,2.79,0.47,4.14,4.14,3.58,7.19,2.42,2.97,4.51,1.60,35.57,1.40,3.33,41.96,0.47,0.67,68.97,0.00,1.65,2.42,0.68,0.07,2.28,0.03,2.42,0.14,2.42,13.65,08.07,4.14,7.19,1.65,0.07,13.65,08.07,4.14,7.19,1.65,0.07,0.14,0.02
Scala #6,45,24.59,08.07,5.40,1.51,1.16,2.27,2.27,1.87,2.67,1.22,2.18,3.91,1.80,46.02,0.76,1.36,55.74,1.16,1.29,89.66,0.00,0.42,1.22,0.35,0.00,2.89,0.00,1.22,0.20,1.22,9.36,08.07,2.27,2.67,0.42,0.00,9.36,08.07,2.27,2.67,0.42,0.00,0.00,0.00
Márcio #3,47,17.81,08.02,0.83,5.11,02.09,4.11,4.11,2.89,0.68,1.23,0.55,1.17,0.28,23.64,2.55,4.28,59.70,02.09,2.87,72.59,0.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Betinho #26,43,17.86,7.95,2.86,3.49,1.60,2.81,2.81,2.19,1.16,1.00,1.16,2.42,0.95,39.42,1.74,3.53,49.34,1.60,2.19,73.40,0.00,0.79,1.00,0.79,0.07,1.91,0.04,1.00,0.05,1.00,7.95,7.95,2.81,1.16,0.79,0.07,7.95,7.95,2.81,1.16,0.79,0.07,0.00,0.00
Isaac #7,33,24.28,7.94,5.36,1.52,01.06,2.91,2.91,2.33,1.36,0.91,1.50,4.45,1.79,40.14,0.76,1.64,46.30,01.06,1.45,72.92,0.06,0.48,0.91,0.53,0.03,2.30,0.01,0.91,0.12,0.91,7.88,7.94,2.91,1.36,0.48,0.03,7.88,7.94,2.91,1.36,0.48,0.03,0.00,0.00
Coelho #10,43,17.68,7.91,2.51,3.35,02.05,2.23,2.23,1.42,2.23,0.93,2.40,2.91,0.84,28.80,1.67,2.70,62.07,02.05,2.74,74.58,0.02,0.65,0.93,0.70,0.05,2.63,0.02,0.93,0.14,0.93,8.35,7.91,2.23,2.23,0.65,0.05,8.35,7.91,2.23,2.23,0.65,0.05,0.00,0.00
Magna #20,35,24.46,7.77,03.09,3.43,1.26,3.66,3.66,2.66,1.23,1.34,0.91,3.14,01.03,32.73,1.71,3.23,53.10,1.26,1.86,67.69,0.00,0.71,1.34,0.53,0.17,2.60,0.07,1.34,0.23,1.34,7.97,7.77,3.66,1.23,0.71,0.17,7.97,7.77,3.66,1.23,0.71,0.17,0.00,0.00
Vithinho #0,32,27.68,7.69,2.72,4.13,0.84,3.63,3.63,03.06,4.91,2.00,2.45,3.75,0.91,24.17,02.06,4.41,46.81,0.84,1.19,71.05,0.00,1.16,2.00,0.58,0.03,2.38,0.01,2.00,0.16,2.00,9.88,7.69,3.63,4.91,1.16,0.03,9.88,7.69,3.63,4.91,1.16,0.03,0.13,0.00
Campos #2,30,25.10,7.67,4.00,2.47,1.20,2.77,2.77,2.13,5.10,2.73,1.87,4.43,1.33,30.08,1.23,3.23,38.14,1.20,1.40,85.71,0.00,01.03,2.73,0.38,0.03,0.90,0.04,2.73,0.13,2.73,8.57,7.67,2.77,5.10,01.03,0.03,8.57,7.67,2.77,5.10,01.03,0.03,0.07,0.00
Piñero #33,23,25.43,7.65,6.00,0.61,01.04,3.30,3.30,2.78,0.96,1.13,0.85,4.78,2.00,41.82,0.30,1.26,24.14,01.04,1.48,70.59,0.00,0.65,1.13,0.58,0.00,2.87,0.00,1.13,0.22,1.13,7.26,7.65,3.30,0.96,0.65,0.00,7.26,7.65,3.30,0.96,0.65,0.00,0.00,0.00
Crescenzi #2,40,23.65,7.63,3.38,3.55,0.70,3.45,3.45,2.38,1.98,1.35,1.46,3.20,1.13,35.16,1.78,3.60,49.31,0.70,0.98,71.79,0.00,0.85,1.35,0.63,0.13,1.95,0.06,1.35,0.28,1.35,8.50,7.63,3.45,1.98,0.85,0.13,8.50,7.63,3.45,1.98,0.85,0.13,0.00,0.00
Morillo #0,24,20.53,7.54,3.00,3.33,1.21,3.21,3.21,2.88,2.38,1.54,1.54,3.00,1.00,33.33,1.67,3.71,44.94,1.21,1.54,78.38,0.00,1.00,1.54,0.65,0.21,1.63,0.13,1.54,0.25,1.54,8.42,7.54,3.21,2.38,1.00,0.21,8.42,7.54,3.21,2.38,1.00,0.21,0.04,0.00
Hubner #77,30,20.77,7.50,3.20,3.67,0.63,4.63,4.63,3.40,0.73,1.23,0.59,3.43,01.07,31.07,1.83,3.23,56.70,0.63,0.87,73.08,0.13,0.37,1.23,0.30,0.10,2.23,0.04,1.23,0.10,1.23,8.10,7.50,4.63,0.73,0.37,0.10,8.10,7.50,4.63,0.73,0.37,0.10,0.03,0.00
Paulichi #13,30,21.54,7.50,4.10,2.87,0.53,3.00,3.00,1.87,0.90,0.93,0.96,3.50,1.37,39.05,1.43,2.53,56.58,0.53,0.93,57.14,0.17,0.70,0.93,0.75,0.33,2.60,0.13,0.93,0.20,0.93,7.87,7.50,3.00,0.90,0.70,0.33,7.87,7.50,3.00,0.90,0.70,0.33,0.00,0.00
Mineiro #12,33,22.34,7.36,3.18,3.15,01.03,4.45,4.45,3.15,1.76,1.12,1.57,2.82,01.06,37.63,1.58,3.33,47.27,01.03,1.55,66.67,0.15,0.58,1.12,0.51,0.45,1.33,0.34,1.12,0.15,1.12,9.45,7.36,4.45,1.76,0.58,0.45,9.45,7.36,4.45,1.76,0.58,0.45,0.00,0.00
Mogi #4,25,23.86,7.28,02.04,3.92,1.32,4.28,4.28,2.64,1.40,0.92,1.52,3.28,0.68,20.73,1.96,3.64,53.85,1.32,2.16,61.11,0.44,0.60,0.92,0.65,0.20,2.20,0.09,0.92,0.28,0.92,7.72,7.28,4.28,1.40,0.60,0.20,7.72,7.28,4.28,1.40,0.60,0.20,0.00,0.00
Rafa #16,31,22.09,7.26,2.32,3.68,1.26,3.58,3.58,2.58,1.00,0.94,01.07,1.74,0.77,44.44,1.84,2.94,62.64,1.26,1.55,81.25,0.19,0.97,0.94,01.03,0.16,2.84,0.06,0.94,0.13,0.94,9.68,7.26,3.58,1.00,0.97,0.16,9.68,7.26,3.58,1.00,0.97,0.16,0.03,0.00
Andrade #12,25,15.99,07.08,0.36,06.08,0.64,3.60,3.60,1.96,0.32,1.16,0.28,0.60,0.12,20.00,03.04,5.52,55.07,0.64,1.00,64.00,0.12,0.40,1.16,0.34,0.28,2.36,0.12,1.16,0.20,1.16,7.20,07.08,3.60,0.32,0.40,0.28,7.20,07.08,3.60,0.32,0.40,0.28,0.00,0.00
Faverani #31,11,13.75,7.00,2.18,3.45,1.36,2.82,2.82,1.91,0.64,01.09,0.58,1.45,0.73,50.00,1.73,3.18,54.29,1.36,1.73,78.95,0.73,0.18,01.09,0.17,0.36,1.82,0.20,01.09,0.27,01.09,7.36,7.00,2.82,0.64,0.18,0.36,7.36,7.00,2.82,0.64,0.18,0.36,0.00,0.00
Jhonatan #7,38,22.78,6.89,3.71,2.26,0.92,03.05,03.05,2.21,1.39,0.89,1.56,2.74,1.24,45.19,1.13,1.89,59.72,0.92,1.29,71.43,0.03,0.42,0.89,0.47,0.13,2.42,0.05,0.89,0.08,0.89,8.37,6.89,03.05,1.39,0.42,0.13,8.37,6.89,03.05,1.39,0.42,0.13,0.03,0.00
Martinez #25,28,18.75,6.71,4.82,1.00,0.89,3.32,3.32,2.61,1.50,0.71,2.10,4.36,1.61,36.89,0.50,1.18,42.42,0.89,1.14,78.13,0.00,0.71,0.71,1.00,0.14,1.71,0.08,0.71,0.00,0.71,8.00,6.71,3.32,1.50,0.71,0.14,8.00,6.71,3.32,1.50,0.71,0.14,0.00,0.00
Arthur #4,14,19.64,6.64,3.21,2.00,1.43,03.07,03.07,2.71,1.36,1.00,1.36,3.21,01.07,33.33,1.00,1.86,53.85,1.43,1.64,86.96,0.00,0.43,1.00,0.43,0.00,2.21,0.00,1.00,0.21,1.00,7.29,6.64,03.07,1.36,0.43,0.00,7.29,6.64,03.07,1.36,0.43,0.00,0.00,0.00
Holt #15,39,16.02,6.64,3.23,2.41,1.00,2.67,2.67,02.08,0.38,0.51,0.75,2.92,01.08,36.84,1.21,2.28,52.81,1.00,1.21,82.98,0.08,0.33,0.51,0.65,0.26,01.05,0.24,0.51,0.10,0.51,6.64,6.64,2.67,0.38,0.33,0.26,6.64,6.64,2.67,0.38,0.33,0.26,0.00,0.00
