,jogadores,jogo,min_em_quadra,pontos,cesta_de_3_pts,cesta_de_2_pts,lances_livres,rebotes,rebotes_ofensivos,rebotes_defensivos,assistências,erros,índice_de_ass,arremessos_de_3_pts_certos,arremessos_de_3_pts_tentados,cesta_de_3_(%),arremessos_de_2_pts_certos,arremessos_de_2_pts_tentados,arremessos_2_pts_convertidos_(%),lances_livres_certos,lances_livres_tentados,lances_livres_convertidos_(%),enterradas,bolas_recuperadas,índice_de_bolas_recuperadas_por_erro,tocos,faltas_cometidas,índice_de_tocos_por_faltas_cometidas,total_de_erros_(soma_de_erros_e_violações),violações,eficiência,assistência,bolas_recuperadas_,duplos_duplos,triplos_duplos,total_min
78,Vildoza #11,33,22.54,9.24,5.09,2.85,1.3,2.58,2.58,2.42,2.97,1.82,1.63,5.09,1.7,33.33,1.42,3.12,45.63,1.3,1.55,84.31,0.0,0.88,0.48,0.03,1.85,0.02,1.82,0.15,8.55,2.97,0.88,0.0,0.0,743.8199999999999
79,Lupa #18,15,18.96,9.2,0.0,6.67,2.53,5.0,5.0,3.13,1.13,1.6,0.71,0.0,0.0,0.0,3.33,6.4,52.08,2.53,3.47,73.08,0.0,0.4,0.25,0.07,2.87,0.02,1.6,0.13,10.2,1.13,0.4,0.07,0.0,284.40000000000003
80,Brite #3,39,20.74,9.13,4.08,3.95,1.1,2.56,2.56,1.77,2.33,1.1,2.12,3.79,1.36,35.81,1.97,4.0,49.36,1.1,1.36,81.13,0.03,1.36,1.23,0.08,2.44,0.03,1.1,0.18,9.64,2.33,1.36,0.03,0.0,808.8599999999999
81,Cauê Borges #4,19,23.01,9.05,3.0,3.58,2.47,3.21,3.21,2.74,3.26,1.53,2.14,3.58,1.0,27.94,1.79,3.89,45.95,2.47,2.95,83.93,0.0,0.58,0.38,0.05,1.84,0.03,1.53,0.11,9.47,3.26,0.58,0.05,0.0,437.19000000000005
82,Pierotti #4,34,22.75,9.0,2.82,3.65,2.53,1.88,1.88,1.41,2.76,1.03,2.69,3.38,0.94,27.83,1.82,4.03,45.26,2.53,3.21,78.9,0.0,0.59,0.57,0.0,1.68,0.0,1.03,0.15,7.88,2.76,0.59,0.0,0.0,773.5
83,Gerson #1,29,21.36,8.97,0.0,7.17,1.79,3.52,3.52,2.24,0.34,0.97,0.36,0.07,0.0,0.0,3.59,5.97,60.12,1.79,2.45,73.24,0.59,0.55,0.57,0.21,2.34,0.09,0.97,0.14,9.52,0.34,0.55,0.0,0.0,619.4399999999999
84,Dimitri #11,32,14.62,8.94,2.53,5.13,1.28,1.66,1.66,1.0,0.78,0.72,1.09,2.63,0.84,32.14,2.56,4.41,58.16,1.28,2.16,59.42,0.0,0.28,0.39,0.09,1.81,0.05,0.72,0.09,6.53,0.78,0.28,0.0,0.0,467.84
85,Novaes #13,35,25.89,8.86,1.71,5.54,1.6,4.63,4.63,2.74,1.43,1.57,0.91,1.86,0.57,30.77,2.77,5.06,54.8,1.6,2.06,77.78,0.17,0.66,0.42,0.23,1.91,0.12,1.57,0.4,10.2,1.43,0.66,0.0,0.0,906.15
86,Deryk #3,34,25.1,8.82,2.03,5.71,1.09,2.47,2.47,1.82,2.03,1.53,1.33,2.62,0.68,25.84,2.85,5.62,50.79,1.09,1.47,74.0,0.0,0.91,0.6,0.03,1.76,0.02,1.53,0.09,7.65,2.03,0.91,0.0,0.0,853.4000000000001
87,Fabricio #10,32,23.6,8.78,6.47,1.25,1.06,3.06,3.06,2.66,1.63,0.97,1.68,5.28,2.16,40.83,0.63,1.16,54.05,1.06,1.66,64.15,0.0,0.63,0.65,0.09,2.03,0.05,0.97,0.06,8.97,1.63,0.63,0.0,0.0,755.2
88,Siewert #23,42,19.85,8.74,6.29,1.9,0.55,2.9,2.9,2.07,0.43,0.62,0.69,4.6,2.1,45.6,0.95,1.76,54.05,0.55,0.64,85.19,0.07,0.62,1.0,0.21,2.5,0.09,0.62,0.07,8.88,0.43,0.62,0.02,0.0,833.7
89,Pecos #14,35,20.85,8.66,1.63,5.54,1.49,4.54,4.54,3.66,4.29,1.34,3.19,1.69,0.54,32.2,2.77,5.83,47.55,1.49,1.86,80.0,0.0,0.8,0.6,0.06,1.46,0.04,1.34,0.14,12.43,4.29,0.8,0.0,0.0,729.75
90,Elder #3,16,23.19,8.63,2.63,4.75,1.25,3.63,3.63,2.56,1.25,1.38,0.91,3.31,0.88,26.42,2.38,5.31,44.71,1.25,2.06,60.61,0.13,1.13,0.82,0.06,1.38,0.05,1.38,0.19,7.13,1.25,1.13,0.06,0.0,371.04
91,D. Nunes #24,27,24.42,8.59,2.11,5.19,1.3,5.04,5.04,3.33,1.07,1.0,1.07,2.37,0.7,29.69,2.59,4.67,55.56,1.3,1.59,81.4,0.15,0.63,0.63,0.52,1.96,0.26,1.0,0.07,10.81,1.07,0.63,0.07,0.0,659.34
92,Vezaro #10,42,24.8,8.52,6.21,1.71,0.6,3.45,3.45,2.67,1.36,0.45,3.0,4.48,2.07,46.28,0.86,1.45,59.02,0.6,0.64,92.59,0.0,0.76,1.68,0.07,2.52,0.03,0.45,0.05,10.67,1.36,0.76,0.0,0.0,1041.6000000000001
93,Amardi #7,25,21.58,8.44,3.0,4.8,0.64,5.0,5.0,4.2,0.92,1.44,0.64,3.2,1.0,31.25,2.4,4.48,53.57,0.64,1.12,57.14,0.68,1.4,0.97,0.32,2.76,0.12,1.44,0.28,9.88,0.92,1.4,0.08,0.0,539.5
94,Paulo #7,30,25.92,8.3,4.2,3.07,1.03,5.03,5.03,3.67,1.2,1.6,0.75,4.2,1.4,33.33,1.53,3.37,45.54,1.03,1.73,59.62,0.13,0.73,0.46,0.23,1.8,0.13,1.6,0.27,8.57,1.2,0.73,0.0,0.0,777.6
95,Rodrigues #16,39,23.95,8.28,0.0,6.77,1.51,5.05,5.05,3.21,0.44,0.74,0.59,0.05,0.0,0.0,3.38,5.67,59.73,1.51,2.23,67.82,1.23,0.41,0.55,0.51,2.31,0.22,0.74,0.13,10.9,0.44,0.41,0.05,0.0,934.05
96,Davi #5,25,27.29,8.24,4.08,3.12,1.04,4.36,4.36,3.52,3.6,2.0,1.8,4.04,1.36,33.66,1.56,3.68,42.39,1.04,2.36,44.07,0.0,1.04,0.52,0.0,2.48,0.0,2.0,0.0,9.12,3.6,1.04,0.0,0.0,682.25
97,Sena #21,27,17.1,8.22,0.33,6.59,1.3,3.07,3.07,2.3,0.78,1.15,0.68,0.89,0.11,12.5,3.3,6.93,47.59,1.3,2.22,58.33,0.56,0.11,0.1,0.33,2.81,0.12,1.15,0.19,6.04,0.78,0.11,0.0,0.0,461.70000000000005
98,Diego #24,23,19.99,8.22,1.57,3.83,2.83,5.0,5.0,3.7,1.17,1.17,1.0,1.91,0.52,27.27,1.91,3.43,55.7,2.83,3.3,85.53,0.04,1.04,0.89,0.26,3.13,0.08,1.17,0.22,11.13,1.17,1.04,0.04,0.0,459.77
99,Ansaloni #22,43,17.65,8.16,2.16,4.79,1.21,4.6,4.6,3.6,0.56,0.95,0.59,1.91,0.72,37.8,2.4,3.93,60.95,1.21,1.53,78.79,0.09,0.28,0.29,0.14,2.4,0.06,0.95,0.19,9.74,0.56,0.28,0.02,0.0,758.9499999999999
100,Elinho #5,43,30.17,8.07,4.81,2.79,0.47,4.14,4.14,3.58,7.19,2.42,2.97,4.51,1.6,35.57,1.4,3.33,41.96,0.47,0.67,68.97,0.0,1.65,0.68,0.07,2.28,0.03,2.42,0.14,13.65,7.19,1.65,0.14,0.02,1297.3100000000002
101,Scala #6,45,24.59,8.07,5.4,1.51,1.16,2.27,2.27,1.87,2.67,1.22,2.18,3.91,1.8,46.02,0.76,1.36,55.74,1.16,1.29,89.66,0.0,0.42,0.35,0.0,2.89,0.0,1.22,0.2,9.36,2.67,0.42,0.0,0.0,1106.55
103,Betinho #26,43,17.86,7.95,2.86,3.49,1.6,2.81,2.81,2.19,1.16,1.0,1.16,2.42,0.95,39.42,1.74,3.53,49.34,1.6,2.19,73.4,0.0,0.79,0.79,0.07,1.91,0.04,1.0,0.05,7.95,1.16,0.79,0.0,0.0,767.98
104,Isaac #7,33,24.28,7.94,5.36,1.52,1.06,2.91,2.91,2.33,1.36,0.91,1.5,4.45,1.79,40.14,0.76,1.64,46.3,1.06,1.45,72.92,0.06,0.48,0.53,0.03,2.3,0.01,0.91,0.12,7.88,1.36,0.48,0.0,0.0,801.24
105,Coelho #10,43,17.68,7.91,2.51,3.35,2.05,2.23,2.23,1.42,2.23,0.93,2.4,2.91,0.84,28.8,1.67,2.7,62.07,2.05,2.74,74.58,0.02,0.65,0.7,0.05,2.63,0.02,0.93,0.14,8.35,2.23,0.65,0.0,0.0,760.24
106,Magna #20,35,24.46,7.77,3.09,3.43,1.26,3.66,3.66,2.66,1.23,1.34,0.91,3.14,1.03,32.73,1.71,3.23,53.1,1.26,1.86,67.69,0.0,0.71,0.53,0.17,2.6,0.07,1.34,0.23,7.97,1.23,0.71,0.0,0.0,856.1
107,Vithinho #0,32,27.68,7.69,2.72,4.13,0.84,3.63,3.63,3.06,4.91,2.0,2.45,3.75,0.91,24.17,2.06,4.41,46.81,0.84,1.19,71.05,0.0,1.16,0.58,0.03,2.38,0.01,2.0,0.16,9.88,4.91,1.16,0.13,0.0,885.76
108,Campos #2,30,25.1,7.67,4.0,2.47,1.2,2.77,2.77,2.13,5.1,2.73,1.87,4.43,1.33,30.08,1.23,3.23,38.14,1.2,1.4,85.71,0.0,1.03,0.38,0.03,0.9,0.04,2.73,0.13,8.57,5.1,1.03,0.07,0.0,753.0
109,Piñero #33,23,25.43,7.65,6.0,0.61,1.04,3.3,3.3,2.78,0.96,1.13,0.85,4.78,2.0,41.82,0.3,1.26,24.14,1.04,1.48,70.59,0.0,0.65,0.58,0.0,2.87,0.0,1.13,0.22,7.26,0.96,0.65,0.0,0.0,584.89
110,Crescenzi #2,40,23.65,7.63,3.38,3.55,0.7,3.45,3.45,2.38,1.98,1.35,1.46,3.2,1.13,35.16,1.78,3.6,49.31,0.7,0.98,71.79,0.0,0.85,0.63,0.13,1.95,0.06,1.35,0.28,8.5,1.98,0.85,0.0,0.0,946.0
111,Morillo #0,24,20.53,7.54,3.0,3.33,1.21,3.21,3.21,2.88,2.38,1.54,1.54,3.0,1.0,33.33,1.67,3.71,44.94,1.21,1.54,78.38,0.0,1.0,0.65,0.21,1.63,0.13,1.54,0.25,8.42,2.38,1.0,0.04,0.0,492.72
112,Hubner #77,30,20.77,7.5,3.2,3.67,0.63,4.63,4.63,3.4,0.73,1.23,0.59,3.43,1.07,31.07,1.83,3.23,56.7,0.63,0.87,73.08,0.13,0.37,0.3,0.1,2.23,0.04,1.23,0.1,8.1,0.73,0.37,0.03,0.0,623.1
113,Paulichi #13,30,21.54,7.5,4.1,2.87,0.53,3.0,3.0,1.87,0.9,0.93,0.96,3.5,1.37,39.05,1.43,2.53,56.58,0.53,0.93,57.14,0.17,0.7,0.75,0.33,2.6,0.13,0.93,0.2,7.87,0.9,0.7,0.0,0.0,646.1999999999999
114,Mineiro #12,33,22.34,7.36,3.18,3.15,1.03,4.45,4.45,3.15,1.76,1.12,1.57,2.82,1.06,37.63,1.58,3.33,47.27,1.03,1.55,66.67,0.15,0.58,0.51,0.45,1.33,0.34,1.12,0.15,9.45,1.76,0.58,0.0,0.0,737.22
115,Mogi #4,25,23.86,7.28,2.04,3.92,1.32,4.28,4.28,2.64,1.4,0.92,1.52,3.28,0.68,20.73,1.96,3.64,53.85,1.32,2.16,61.11,0.44,0.6,0.65,0.2,2.2,0.09,0.92,0.28,7.72,1.4,0.6,0.0,0.0,596.5
116,Rafa #16,31,22.09,7.26,2.32,3.68,1.26,3.58,3.58,2.58,1.0,0.94,1.07,1.74,0.77,44.44,1.84,2.94,62.64,1.26,1.55,81.25,0.19,0.97,1.03,0.16,2.84,0.06,0.94,0.13,9.68,1.0,0.97,0.03,0.0,684.79
117,Andrade #12,25,15.99,7.08,0.36,6.08,0.64,3.6,3.6,1.96,0.32,1.16,0.28,0.6,0.12,20.0,3.04,5.52,55.07,0.64,1.0,64.0,0.12,0.4,0.34,0.28,2.36,0.12,1.16,0.2,7.2,0.32,0.4,0.0,0.0,399.75
118,Faverani #31,11,13.75,7.0,2.18,3.45,1.36,2.82,2.82,1.91,0.64,1.09,0.58,1.45,0.73,50.0,1.73,3.18,54.29,1.36,1.73,78.95,0.73,0.18,0.17,0.36,1.82,0.2,1.09,0.27,7.36,0.64,0.18,0.0,0.0,151.25
119,Jhonatan #7,38,22.78,6.89,3.71,2.26,0.92,3.05,3.05,2.21,1.39,0.89,1.56,2.74,1.24,45.19,1.13,1.89,59.72,0.92,1.29,71.43,0.03,0.42,0.47,0.13,2.42,0.05,0.89,0.08,8.37,1.39,0.42,0.03,0.0,865.6400000000001
120,Martinez #25,28,18.75,6.71,4.82,1.0,0.89,3.32,3.32,2.61,1.5,0.71,2.1,4.36,1.61,36.89,0.5,1.18,42.42,0.89,1.14,78.13,0.0,0.71,1.0,0.14,1.71,0.08,0.71,0.0,8.0,1.5,0.71,0.0,0.0,525.0
121,Arthur #4,14,19.64,6.64,3.21,2.0,1.43,3.07,3.07,2.71,1.36,1.0,1.36,3.21,1.07,33.33,1.0,1.86,53.85,1.43,1.64,86.96,0.0,0.43,0.43,0.0,2.21,0.0,1.0,0.21,7.29,1.36,0.43,0.0,0.0,274.96000000000004
122,Holt #15,39,16.02,6.64,3.23,2.41,1.0,2.67,2.67,2.08,0.38,0.51,0.75,2.92,1.08,36.84,1.21,2.28,52.81,1.0,1.21,82.98,0.08,0.33,0.65,0.26,1.05,0.24,0.51,0.1,6.64,0.38,0.33,0.0,0.0,624.78
123,Olivinha #16,36,16.14,6.61,1.08,4.22,1.31,4.81,4.81,3.22,1.08,1.0,1.08,1.22,0.36,29.55,2.11,3.42,61.79,1.31,1.78,73.44,0.0,0.64,0.64,0.22,1.78,0.13,1.0,0.14,9.72,1.08,0.64,0.06,0.0,581.04
124,Green III #13,30,16.25,6.6,0.9,4.93,0.77,2.5,2.5,1.7,0.57,0.53,1.06,0.97,0.3,31.03,2.47,3.87,63.79,0.77,1.1,69.7,0.97,0.43,0.81,0.63,1.47,0.43,0.53,0.07,7.8,0.57,0.43,0.0,0.0,487.5
125,Anderson #32,40,22.34,6.6,2.33,2.95,1.33,4.55,4.55,3.3,1.0,0.95,1.05,3.13,0.78,24.8,1.48,3.6,40.97,1.33,2.08,63.86,0.05,1.2,1.26,0.13,2.6,0.05,0.95,0.15,7.3,1.0,1.2,0.03,0.0,893.6
126,Eugeniusz #6,32,14.39,6.47,1.97,3.5,1.0,1.66,1.66,1.09,1.13,1.53,0.73,2.19,0.66,30.0,1.75,3.03,57.73,1.0,1.5,66.67,0.09,1.03,0.67,0.03,2.34,0.01,1.53,0.28,5.47,1.13,1.03,0.0,0.0,460.48
127,G. Basílio #10,28,24.93,6.43,2.68,2.71,1.04,3.82,3.82,2.93,1.43,1.21,1.18,3.75,0.89,23.81,1.36,2.82,48.1,1.04,1.46,70.73,0.0,0.71,0.59,0.04,2.39,0.01,1.21,0.25,6.46,1.43,0.71,0.0,0.0,698.04
128,Silva #14,25,23.15,6.4,1.68,3.68,1.04,6.28,6.28,4.44,1.2,1.24,0.97,2.0,0.56,28.0,1.84,3.44,53.49,1.04,1.6,65.0,0.28,0.72,0.58,0.36,3.2,0.11,1.24,0.04,10.12,1.2,0.72,0.04,0.0,578.75
129,Ewing #5,25,16.16,6.28,0.6,4.56,1.12,4.12,4.12,2.8,0.64,1.12,0.57,0.88,0.2,22.73,2.28,4.08,55.88,1.12,2.04,54.9,0.68,0.32,0.29,0.16,2.0,0.08,1.12,0.08,7.0,0.64,0.32,0.08,0.0,404.0
130,Larry #4,39,19.38,6.21,3.46,2.31,0.44,1.87,1.87,1.41,1.74,0.64,2.72,3.64,1.15,31.69,1.15,2.54,45.45,0.44,0.64,68.0,0.0,0.67,1.04,0.03,1.28,0.02,0.64,0.05,5.79,1.74,0.67,0.0,0.0,755.8199999999999
131,Arthur #24,2,15.49,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,3.0,2.0,66.67,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,4.5,0.5,0.0,0.0,0.0,30.98
132,Doria #7,40,19.9,6.0,0.15,4.55,1.3,4.93,4.93,2.78,1.28,1.0,1.28,0.18,0.05,28.57,2.28,4.33,52.6,1.3,1.88,69.33,0.2,0.8,0.8,0.25,2.53,0.1,1.0,0.18,9.5,1.28,0.8,0.05,0.0,796.0
133,R. Rachel #20,27,15.27,5.96,3.67,1.63,0.67,3.63,3.63,2.89,0.44,0.74,0.6,4.15,1.22,29.46,0.81,1.7,47.83,0.67,0.96,69.23,0.19,0.44,0.6,0.37,2.04,0.18,0.74,0.22,6.0,0.44,0.44,0.0,0.0,412.28999999999996
134,Brunão #11,28,15.08,5.79,0.54,3.79,1.46,3.25,3.25,2.04,0.68,1.21,0.56,0.75,0.18,23.81,1.89,3.36,56.38,1.46,2.11,69.49,0.54,0.18,0.15,0.79,2.04,0.39,1.21,0.36,6.79,0.68,0.18,0.0,0.0,422.24
135,Malachias #31,32,12.96,5.78,0.38,4.38,1.03,2.66,2.66,1.81,0.66,0.75,0.88,1.31,0.13,9.52,2.19,4.22,51.85,1.03,1.53,67.35,0.5,0.25,0.33,0.25,2.19,0.11,0.75,0.09,5.13,0.66,0.25,0.0,0.0,414.72
136,Djalo #7,34,15.46,5.71,2.65,1.82,1.24,2.53,2.53,1.65,0.53,0.74,0.72,2.74,0.88,32.26,0.91,2.0,45.59,1.24,1.62,76.36,0.12,0.47,0.64,0.18,1.97,0.09,0.74,0.21,5.35,0.53,0.47,0.0,0.0,525.64
137,Faggiano #3,31,20.31,5.61,1.45,3.61,0.55,3.06,3.06,2.52,2.61,1.55,1.69,1.71,0.48,28.3,1.81,3.55,50.91,0.55,0.68,80.95,0.0,0.77,0.5,0.06,1.42,0.05,1.55,0.19,7.48,2.61,0.77,0.0,0.0,629.61
138,Sebastian #17,34,15.85,5.59,2.29,2.29,1.0,3.06,3.06,2.5,1.03,0.97,1.06,2.35,0.76,32.5,1.15,2.29,50.0,1.0,1.68,59.65,0.0,0.88,0.91,0.18,1.53,0.12,0.97,0.26,6.35,1.03,0.88,0.0,0.0,538.9
139,Michel #24,35,20.37,5.43,3.43,1.6,0.4,2.34,2.34,1.63,1.6,1.2,1.33,4.2,1.14,27.21,0.8,1.94,41.18,0.4,0.86,46.67,0.0,1.43,1.19,0.0,2.09,0.0,1.2,0.29,4.94,1.6,1.43,0.0,0.0,712.95
140,Onwenu #1,33,14.15,5.39,1.45,2.97,0.97,1.91,1.91,1.3,1.0,1.15,0.87,1.67,0.48,29.09,1.48,2.73,54.44,0.97,1.52,64.0,0.15,0.55,0.47,0.27,1.55,0.18,1.15,0.21,5.0,1.0,0.55,0.0,0.0,466.95
141,Du Sommer #17,32,14.59,5.38,0.56,3.5,1.31,2.41,2.41,1.41,0.31,0.81,0.38,0.97,0.19,19.35,1.75,3.06,57.14,1.31,1.91,68.85,0.19,0.25,0.31,0.03,1.91,0.02,0.81,0.13,4.88,0.31,0.25,0.03,0.0,466.88
142,Aguirre #7,37,19.41,5.27,1.86,2.92,0.49,3.11,3.11,2.0,2.95,1.05,2.79,3.46,0.62,17.97,1.46,2.54,57.45,0.49,0.62,78.26,0.0,0.84,0.79,0.03,1.76,0.02,1.05,0.11,7.08,2.95,0.84,0.03,0.0,718.17
143,Penteado #12,33,14.9,5.12,3.0,1.58,0.55,3.0,3.0,1.82,1.06,0.79,1.35,2.91,1.0,34.38,0.79,1.58,50.0,0.55,0.76,72.0,0.0,0.61,0.77,0.15,2.39,0.06,0.79,0.06,6.24,1.06,0.61,0.0,0.0,491.7
144,Rojas #12,32,11.22,4.81,0.19,3.56,1.06,2.97,2.97,1.66,0.19,1.13,0.17,0.66,0.06,9.52,1.78,2.84,62.64,1.06,1.59,66.67,0.38,0.13,0.11,0.53,2.31,0.23,1.13,0.28,5.31,0.19,0.13,0.03,0.0,359.04
145,L. Cauê #23,18,13.82,4.72,0.0,3.67,1.06,4.17,4.17,2.72,0.89,0.89,1.0,0.44,0.0,0.0,1.83,3.72,49.25,1.06,1.56,67.86,0.22,0.44,0.5,0.17,1.72,0.1,0.89,0.0,6.67,0.89,0.44,0.0,0.0,248.76
146,Cauê #8,37,18.58,4.65,2.11,2.0,0.54,3.24,3.24,2.7,2.54,0.84,3.03,2.14,0.7,32.91,1.0,2.41,41.57,0.54,0.68,80.0,0.0,0.84,1.0,0.08,2.43,0.03,0.84,0.14,7.54,2.54,0.84,0.0,0.0,687.4599999999999
147,Robson Jr #15,26,13.26,4.23,2.31,1.62,0.31,1.23,1.23,1.04,1.73,1.23,1.41,2.35,0.77,32.79,0.81,2.0,40.38,0.31,0.5,61.54,0.0,0.58,0.47,0.04,1.35,0.03,1.23,0.08,3.62,1.73,0.58,0.0,0.0,344.76
148,Tiago #13,32,21.74,4.16,3.0,0.94,0.22,3.41,3.41,2.53,0.69,0.84,0.81,3.09,1.0,32.32,0.47,1.5,31.25,0.22,0.44,50.0,0.03,0.75,0.89,0.03,1.59,0.02,0.84,0.22,4.84,0.69,0.75,0.03,0.0,695.68
149,Pedro #9,34,31.34,9.85,4.24,4.06,1.56,3.47,3.47,3.12,2.59,2.06,1.26,5.44,1.41,25.95,2.03,4.5,45.1,1.56,2.29,67.95,0.0,1.59,0.77,0.18,2.44,0.07,2.06,0.47,8.38,2.59,1.59,0.0,0.0,1065.56
150,Mogi #3,10,15.23,4.1,2.1,1.8,0.2,1.4,1.4,1.4,1.6,0.7,2.29,2.1,0.7,33.33,0.9,2.2,40.91,0.2,0.3,66.67,0.0,0.0,0.0,0.1,1.3,0.08,0.7,0.0,3.7,1.6,0.0,0.0,0.0,152.3
151,Serjão #21,24,12.9,4.0,0.25,3.25,0.5,3.0,3.0,2.25,0.42,1.08,0.38,0.33,0.08,25.0,1.63,2.71,60.0,0.5,0.96,52.17,0.42,0.42,0.38,0.54,1.83,0.3,1.08,0.21,5.5,0.42,0.42,0.0,0.0,309.6
152,Pastor #8,32,12.36,3.94,1.88,1.75,0.31,2.31,2.31,1.41,0.5,0.63,0.8,1.91,0.63,32.79,0.88,1.47,59.57,0.31,0.5,62.5,0.06,0.31,0.5,0.06,1.5,0.04,0.63,0.16,4.44,0.5,0.31,0.0,0.0,395.52
153,J. Pedro #15,22,11.57,3.91,0.41,3.27,0.23,2.41,2.41,1.73,0.14,0.59,0.23,0.64,0.14,21.43,1.64,3.77,43.37,0.23,0.32,71.43,0.09,0.14,0.23,0.55,1.18,0.46,0.59,0.09,3.82,0.14,0.14,0.0,0.0,254.54000000000002
154,Gusmão #10,31,13.65,3.87,0.0,3.35,0.52,4.13,4.13,2.68,0.39,0.48,0.8,0.06,0.0,0.0,1.68,3.61,46.43,0.52,0.74,69.57,0.13,0.23,0.47,0.35,1.13,0.31,0.48,0.1,6.26,0.39,0.23,0.03,0.0,423.15000000000003
155,Teichmann #11,31,18.86,3.74,0.0,3.48,0.26,4.61,4.61,3.52,3.26,1.74,1.87,0.1,0.0,0.0,1.74,3.26,53.47,0.26,0.74,34.78,0.19,0.94,0.54,0.52,3.16,0.16,1.74,0.06,9.23,3.26,0.94,0.0,0.0,584.66
156,Reynan #29,43,9.58,3.72,1.74,1.4,0.58,1.35,1.35,0.95,0.51,0.33,1.57,1.58,0.58,36.76,0.7,1.21,57.69,0.58,0.91,64.1,0.14,0.47,1.43,0.16,1.33,0.12,0.33,0.05,4.05,0.51,0.47,0.0,0.0,411.94
157,Jamison Jr #1,25,8.55,3.32,2.04,1.04,0.24,0.96,0.96,0.48,0.24,0.52,0.46,1.6,0.68,42.5,0.52,1.04,50.0,0.24,0.32,75.0,0.0,0.36,0.69,0.08,0.84,0.1,0.52,0.04,2.92,0.24,0.36,0.0,0.0,213.75000000000003
158,André #10,38,10.17,3.29,0.08,2.63,0.58,2.79,2.79,1.53,0.29,0.5,0.58,0.13,0.03,20.0,1.32,2.37,55.56,0.58,0.89,64.71,0.24,0.11,0.21,0.5,1.08,0.46,0.5,0.0,5.0,0.29,0.11,0.0,0.0,386.46
159,Buiú #14,37,8.42,3.19,2.03,0.86,0.3,0.73,0.73,0.59,0.68,0.62,1.09,1.73,0.68,39.06,0.43,1.19,36.36,0.3,0.46,64.71,0.03,0.49,0.78,0.03,1.0,0.03,0.62,0.14,2.51,0.68,0.49,0.0,0.0,311.54
160,Alex #13,32,9.36,3.13,0.28,2.38,0.47,2.72,2.72,1.63,0.5,0.59,0.84,0.16,0.09,60.0,1.19,2.28,52.05,0.47,1.13,41.67,0.28,0.38,0.63,0.09,1.0,0.09,0.59,0.09,4.41,0.5,0.38,0.0,0.0,299.52
161,Josuel #12,29,13.08,3.1,1.14,1.79,0.17,1.1,1.1,0.66,0.48,0.48,1.0,1.31,0.38,28.95,0.9,1.72,52.0,0.17,0.31,55.56,0.1,0.28,0.57,0.14,1.93,0.07,0.48,0.1,2.72,0.48,0.28,0.0,0.0,379.32
