Munícipio,Latitude,Longitude
São José dos Campos,-23.1896,-45.8841
Belo Horizonte,-19.9102,-43.9266
Urussanga,-28.518,-49.3238
Campinas,-22.9053,-47.0659
Valparaíso,-21.2229,-50.8699
Sorocaba ,"-23,4969","-47,4451"
Hortolândia,"-22,8529","-47,2143"
Florianópolis,"-27,5945","-48,5477"
Jaraguá do Sul,-26.4851,-49.0713
São Franscisco do Sul,-26.2579,-48.6344
Pelotas,-31.7649,-52.3371
Gôiania,-16.6864,-49.2643
Aparecida de Gôania,"-16,8198","-49,2469"
Santo Antônio da Barra,-17.5585,-50.6345
Novo Mundo,"-9,95616","-55,2029"
Silvânia,-16.66,-48.6083
Pires do Rio,-17.3019,-48.2768
Ouvidor,"-18,2277","-47,8355"
Corumbaíba,"-18,1415","-48,5626"
Cumari,-18.2644,-48.1511
Caldas Novas,"-17,7441","-48,6246"
Cezarina,"-16,9718","-49,7758"
Jesúpolis,"-15,9484","-49,3739"
Carmo do Rio Verde,"-15,3549","-49,708"
Barro Alto,"-14,9658 ","-48,9086"
Arroio dos Ratos,"-30,0875","-51,7275"
Arroio Grande,"-32,2327","-53,0862"
Camaquã,"-30,8489","-51,8043"
Campo Bom,"-29,6747","-51,0606"
Canoas,"-29,9128","-51,1857"
Charqueadas,"-29,9625 ","-51,6289"
Chuvisca,"-30,7504","-51,9737"
Caxias do Sul,"-29,1629","-51,1792"
Esteio,"-29,852","-51,1841"
Farroupilha,"-29,2227","-51,3419"
General Câmara,"-29,9032","-51,7612"
Gramado,"-29,3734","-50,8762"
Guaíba,"-30,1086","-51,3233"
Ibiaçá,"-28,0566","-51,8599"
Igrejinha,"-29,5693","-50,7919"
Ipê,"-28,8171","-51,2859"
Lajeado,"-29,4591","-51,9644"
Linha Nova,"-29,4679","-51,2003"
Maquiné,"-29,6798","-50,2079"
Montenegro,"-29,6824","-51,4679"
Nova Santa Rita,"-29,8525","-51,2837"
Nova Petrópolis,"-29,3741","-51,1136"
Osório,"-29,8881","-50,2667"
Palmares do Sul,"-30,2535","-50,5103"
Pareci Novo,"-29,6365","-51,3974"
Passo Fundo,"-28,2576","-52,4091"
Porto Alegre,"-30,0318","-51,2065"
Presidente Lucena,"-29,5175","-51,1798"
Santa Clara do Sul,"-29,4747","-52,0843"
Santa Cruz do Sul,"-29,722","-52,4343"
Santo Antônio da Patrulha,"-29,8268","-50,5175"
São Leopoldo,"-29,7545","-51,1498"
São Luiz Gonzaga,"-28,412","-54,9559"
Sapucaia do Sul,"-29,8276","-51,145"
Sertão Santana,"-30,4562","-51,6017"
Tramandaí,"-29,9841","-50,1322"
Venâncio Aires,"-29,6143","-52,1932"
Veranópolis,"-28,9312","-51,5516"
Boituva,"-23,2855","-47,6786"
Campo Grande,"-9,95542","-36,7926"
Fortaleza,"-3,71664","-38,5423"
Anápolis,-16.3281,-48.953
Ipatinga,-19.4703,-42.5476
Juara,-11.2639,-57.5244
Guariba,-21.3594,-48.2316
Brotas,-22.2795,-48.1251
Telêmaco Borba,-24.3245,-50.6176
Rio das Ostras,-22.5174,-41.9475
Vitória da Conquista,-14.8615,-40.8442
Ouro Preto,-20.3796,-43.512
Formiga,-20.4618,-45.4268
Ponta Grossa,-25.0916,-50.1668
Teófilo Otoni,-17.8595,-41.5087
Diamantina,-18.2413,-43.6031
Coronel Fabriciano,-19.5179,-42.6276
Divinópolis,-20.1446,-44.8912
Itabira,-19.6239,-43.2312
Manhuaçu,-20.2572,-42.028
Montes Claros,-16.7282,-43.8578
Passos,-20.7193,-46.609
Pedra Azul,-16.0086,-41.2909
Ponte Nova,-20.4111,-42.8978
Pouso Alegre,-22.2266,-45.9389
São João del-Rei,-21.1311,-44.2526
Sete Lagoas,-19.4569,-44.2413
Ubá,-21.1204,-42.9359
Uberaba,-19.7472,-47.9381
Varginha,-19.7006,-44.556
Franca ,-20.5352,-47.4039
Santana do Livramento,-30.876084,-55.51525
Blumenau,-26.9155,-49.0709
Porto Velho,-8.76077,-63.8999
Natal,-5.79357,-35.1986
Macaíba,-5.85229,-35.3552
Criciúma,-28.6723,-49.3729
Chapecó,-27.1004,-52.6152
Sarapinga,-29.6349,-51.0064
Ourinhos,-22.9797,-49.8697
Santos,-23.9535,-46.335
São Vicente,-23.9574,-46.3883
Cuiabá,-15.601,-56.0974
Palmas,-10.24,-48.3558
Rio Branco,-9.97499,-67.8243
Cruzeiro de Sul,-7.62762,-72.6756
Xapuri,-10.6516,-68.4969
Plácido de Castro,-10.2806,-67.1371
Porto Acre,-9.58138,-67.5478
Jaciara,-15.9548,-54.9733
Primavera do Leste,-15.544,-54.2811
Cáceres ,-16.0764,-57.6818
Vitória,-20.3155,-40.3128
Mandirituba,-25.777,-49.3282
Curitiba,-25.4195,-49.2646
Colombo,-25.2925,-49.2262
São José dos Pinhais,-25.5313,-49.2031
Fazenda Rio Grande,-25.6624,-49.3073
Pinhais,-25.4429,-49.1927
Araucária,-25.5859,-49.4047
Almirante Tamandará,-25.3188,-49.3037
Clementina,-21.5604,-50.4525
Nova Andradina,-22.238,-53.3437
Marechal Cândido Rondon,-24.557,-54.0571
Terra Roxa,-20.787,-48.3314
Itapeva,-23.5488,-46.9327
Salvador,-12.9718,-38.5011
Brusque,-27.0977,-48.9107
Rio Paranaíba,-19.1861,-46.2455
Rolim de Moura,-11.7271,-61.7714
São Gabriel,-30.3337,-54.3217
Maringá,-23.4205,-51.9333
Entre Rios do Oeste,-24.7042,-54.2385
Batayporã,-22.2944,-53.2705
Petrolina,-9.38866,-40.5027
Itajobi,-21.3123,-49.0629